BABA	Alibaba Group Holding Ltd.	BABA.N
GOOG	Alphabet Inc. ClassA (Google)	GOOG.OQ
XAL	Aluminium	XAL.ecn
AMZN	Amazon.com, Inc.	AMZN.OQ
AIG	American International Group Inc.	AIG.N
AAPL	Apple Inc.	AAPL.OQ
AUS200	Australia 200	AUS200
AUDCAD	Australian Dollar vs Canadian Dollar	AUDCAD
AUDJPY	Australian Dollar vs Japanese Yen	AUDJPY
AUDNZD	Australian Dollar vs New Zealand Dollar	AUDNZD
AUDCHF	Australian Dollar vs Swiss Franc	AUDCHF
AUDUSD	Australian Dollar vs US Dollar	AUDUSD
BAC	Bank of America Corp.	BAC.N
XBTUSD	Bitcoin	XBTUSD.lmx
XBNUSD	Bitcoin Cash	XBNUSD.lmx
BA	Boeing Company	BA.N
GBPDKK	British Pound vs Danish Krone	GBPDKK
GBPHKD	British Pound vs Hong Kong Dollar	GBPHKD
GBPHUF	British Pound vs Hungarian Forint	GBPHUF
GBPJPY	British Pound vs Japanese Yen	GBPJPY
GBPMXN	British Pound vs Mexican Pesos	GBPMXN
GBPNOK	BRitish Pound vs Norwegian Kroner	GBPNOK
GBPSGD	British Pound vs Singapore Dollar	GBPSGD
GBPZAR	British Pound vs South African Rad	GBPZAR
GBPSEK	British Pound vs Swedish krona	GBPSEK
GBPTRY	British Pound vs Turkish lira	GBPTRY
GBPPLN	Brtish Pound vs Polish Zlotje	GBPPLN
NZDCAD	Canadian Dollar vs Canadian Dollar	NZDCAD
CADJPY	Canadian Dollar vs Japanese Yen	CADJPY
CADCHF	Canadian Dollar vs Swiss Franc	CADCHF
CVX	Chevron Corp.	CVX.N
CSCO	Cisco Systems, Inc.	CSCO.OQ
COCOA	Cocoa	COCOA.ecn
COFFEE	Coffee	COFFEE.ecn
XCU	Copper	XCU.ecn
CORN	Corn	CORN.ecn
COTTON	Cotton	COTTON.ecn
EBAY	Ebay Inc.	EBAY.OQ
XETUSD	Ethereum	XETUSD.lmx
EURAUD	Euro vs Australian Dollar	EURAUD
EURCAD	Euro vs Canadian Dollar	EURCAD
EURCZK	Euro vs Czech koruna	EURCZK
EURDKK	Euro vs Danish Krone	EURDKK
EURGBP	Euro vs Great Britain Pound	EURGBP
EURHKD	Euro vs Hong Kong Dollar	EURHKD
EURHUF	Euro vs Hungarian Forint	EURHUF
EURJPY	Euro vs Japanese Yen	EURJPY
